seqname,tax_id
12256580_len_245_MetaAn_43,c__Bacteroidia
13840631_len_254_MetaAn_9,p__Bacteroidota
14992923_len_251_MetaAn_25,f__Spirosomataceae
16189565_len_246_MetaAn_17,g__JAJQRF01
16507927_len_254_MetaAn_9,p__Bacteroidota
17754931_len_254_MetaAn_9,p__Bacteroidota
1802778_len_247_MetaAn_68,p__Bacteroidota
18804218_len_268_MetaAn_10,f__Flavobacteriaceae
2032954_len_245_MetaAn_43,f__Flavobacteriaceae
22690222_len_272_MetaAn_10,g__Hanamia
22944373_len_268_MetaAn_3,p__Bacteroidota
23397207_len_254_MetaAn_9,p__Bacteroidota
31192861_len_242_MetaAn_74,c__Bacteroidia
3249892_len_245_MetaAn_57,p__Bacteroidota
36413597_len_242_MetaAn_74,f__Chitinophagaceae
4125960_len_245_MetaAn_57,p__Bacteroidota
5214257_len_268_MetaAn_10,f__Flavobacteriaceae
5529096_len_254_MetaAn_57,c__Bacteroidia
5975614_len_245_MetaAn_9,p__Bacteroidota
6619885_len_247_MetaAn_65,f__Chitinophagaceae
7921501_len_271_MetaAn_3,p__Bacteroidota
8587538_len_247_MetaAn_23,c__Bacteroidia
9189521_len_246_MetaAn_74,g__JAJQRF01
973004_len_254_MetaAn_57,f__Flavobacteriaceae
9857620_len_271_MetaAn_3,p__Bacteroidota
CHM-1,p__Bacteroidota
SPA_MetaAn_10_l266_st178_e975_se1_ID=46466_1,s__Gelidibacter_salicanalis
SPA_MetaAn_1_l267_st5079_e5879_se1_ID=3932_5,f__Chitinophagaceae
SPA_MetaAn_1_l270_st2245_e3054_se-1_ID=22706_3,p__Bacteroidota
SPA_MetaAn_1_l270_st738_e1547_se1_ID=9836_2,c__Bacteroidia
SPA_MetaAn_1_l273_st2603_e3421_se1_ID=4118_2,c__Bacteroidia
SPA_MetaAn_21_l223_st44_e712_se1_ID=156526_1,p__Bacteroidota
SPA_MetaAn_23_l258_st1450_e2223_se1_ID=17702_3,c__Bacteroidia
SPA_MetaAn_23_l270_st220_e1029_se-1_ID=93401_1,s__Ferruginibacter_sp025362235
SPA_MetaAn_3_l250_st354_e1103_se-1_ID=35239_1,p__Bacteroidota
SPA_MetaAn_57_l241_st364_e1086_se-1_ID=15438_1,c__Bacteroidia
SPA_MetaAn_62_l246_st132_e869_se-1_ID=108914_1,c__Bacteroidia
SPA_MetaAn_63_l267_st467_e1267_se-1_ID=67003_2,f__Flavobacteriaceae
SPA_MetaAn_65_l266_st96_e893_se1_ID=261377_1,s__Gelidibacter_salicanalis
SPA_MetaAn_66_l263_st3192_e3980_se1_ID=552_4,c__Bacteroidia
SPA_MetaAn_67_l250_st33_e782_se1_ID=44098_1,o__B-17B0
SPA_MetaAn_68_l245_st501_e1235_se-1_ID=139255_2,c__Bacteroidia
SPA_MetaAn_68_l246_st2624_e3361_se1_ID=33733_4,p__Bacteroidota
SPA_MetaAn_75_l246_st952_e1689_se1_ID=978_2,g__ELB16-189
SPA_MetaAn_76_l253_st54_e812_se-1_ID=94313_1,p__Bacteroidota
SPA_MetaAn_77_l246_st2646_e3383_se-1_ID=10894_3,s__Ferruginibacter_sp025362235
SPA_MetaAn_78_l250_st139_e888_se-1_ID=10946_2,s__Ferruginibacter_sp025362235
SPA_MetaAn_7_l244_st841_e1572_se-1_ID=76957_2,p__Bacteroidota
SPA_MetaAn_7_l266_st100_e897_se1_ID=187476_2,s__Gelidibacter_salicanalis
SPA_MetaAn_7_l267_st2266_e3066_se1_ID=15669_3,o__Flavobacteriales
SPA_MetaAn_9_l244_st180_e911_se1_ID=184245_1,p__Bacteroidota
SPA_MetaAn_9_l252_st896_e1651_se-1_ID=24344_2,s__JADKJB01_sp016722525
SPA_MetaAn_9_l253_st1328_e2086_se1_ID=39337_2,p__Bacteroidota
